"","OBP","SLG","BA","Playoffs.x","BatAge","Num.Bat","Num.P","WAR","RA.G","ERA","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"497",0.36,0.436,0.288,1,30.1,48,24,5.6,4.86,4.65,4.25,1.444,9.2,0.9,3.8,7.1,1.87,7.2962962962963,108,0.320987654320988,0.037037037037037,0.0555555555555556,0.0123456790123457,5.37654320987654,92
"498",0.344,0.452,0.265,0,28.2,43,20,6.4,5.56,5.2,5.22,1.567,10.1,1.3,4,5.5,1.37,7.62962962962963,98,0.209876543209877,0.0432098765432099,0.0308641975308642,0.0185185185185185,5.31481481481481,78
"499",0.325,0.387,0.256,0,28.4,54,25,4.8,4.88,4.48,4.32,1.386,9.3,1,3.2,6.6,2.05,6.65432098765432,96,0.259259259259259,0.0740740740740741,0.037037037037037,0.0185185185185185,4.01234567901235,67
"500",0.329,0.407,0.266,0,28.8,46,25,6,5.14,4.61,4.46,1.432,9.9,1.1,3,6.5,2.18,7.0679012345679,95,0.228395061728395,0.0308641975308642,0.0432098765432099,0.0123456790123457,4.79012345679012,73
"501",0.338,0.402,0.265,1,30.9,43,19,7.6,4.21,3.72,3.88,1.277,8.4,0.8,3.1,7.2,2.36,7.05555555555556,107,0.290123456790123,0.0308641975308642,0.0679012345679012,0.00617283950617284,4.75925925925926,91
"502",0.366,0.484,0.287,0,28.7,49,25,9.7,5.56,5.21,5.13,1.514,9.8,1.4,3.8,6.3,1.65,7.2111801242236,95,0.211180124223602,0.0248447204968944,0.0248447204968944,0.0124223602484472,6.16770186335404,85.527950310559
"503",0.331,0.388,0.253,0,28.9,49,20,9.6,5.32,4.71,4.86,1.449,9.5,1.2,3.6,6.2,1.75,7.04320987654321,86,0.216049382716049,0.0555555555555556,0.0493827160493827,0.00617283950617284,4.64197530864198,68
"504",0.33,0.407,0.267,1,30.7,38,18,5.4,4.36,3.97,4.46,1.321,8.6,1.1,3.3,6.5,1.95,6.91975308641975,106,0.265432098765432,0.0802469135802469,0.0679012345679012,0.0308641975308642,4.68518518518519,88
"505",0.358,0.469,0.284,1,29.5,39,17,6.6,4.9,4.65,4.63,1.484,9.7,1,3.6,6.1,1.68,7.42944785276074,113,0.263803680981595,0.116564417177914,0.0368098159509202,0.0306748466257669,5.69325153374233,89.4478527607362
"506",0.331,0.42,0.259,0,28.6,40,20,8.5,4.99,4.57,4.77,1.443,9.2,1.2,3.8,6.4,1.69,6.94444444444444,110,0.216049382716049,0.117283950617284,0.0432098765432099,0.0308641975308642,4.72839506172839,74
"507",0.331,0.408,0.262,1,28.8,33,13,6.5,3.45,3.14,3.5,1.221,8,0.6,3,6.4,2.16,6.73456790123457,128,0.283950617283951,0.111111111111111,0.0987654320987654,0.0308641975308642,4.73456790123457,104
"508",0.346,0.413,0.267,0,29.4,41,18,6.8,4.6,4.31,4.4,1.39,8.9,1,3.6,5.6,1.55,6.85185185185185,104,0.259259259259259,0.12962962962963,0.0617283950617284,0.037037037037037,4.85185185185185,85
"509",0.33,0.395,0.264,0,29.7,39,16,5.7,4.31,3.77,3.99,1.33,8.5,0.8,3.4,6.2,1.81,7.07407407407407,122,0.271604938271605,0.0555555555555556,0.0679012345679012,0.0308641975308642,4.23456790123457,80
"510",0.331,0.38,0.26,0,27.3,46,24,8.7,4.75,4.34,4.46,1.421,9.3,1,3.5,5.3,1.53,7.04938271604938,103,0.253086419753086,0.160493827160494,0.037037037037037,0.0185185185185185,4.22222222222222,71
"511",0.325,0.414,0.27,0,28,38,17,6.6,4.53,4.18,4.17,1.369,9.4,0.9,2.9,5.6,1.93,6.68711656441718,94,0.343558282208589,0.049079754601227,0.0306748466257669,0.0122699386503067,4.52760736196319,83.4846625766871
"512",0.338,0.411,0.265,1,28.9,43,20,6.2,4.1,3.7,4.02,1.351,8.7,0.8,3.5,6,1.72,7.08024691358025,114,0.296296296296296,0.0987654320987654,0.0679012345679012,0.0432098765432099,4.79012345679012,94
"513",0.324,0.396,0.264,0,28.4,51,24,10.2,4.85,4.51,4.19,1.407,9.5,1,3.2,6.3,1.96,6.98148148148148,89,0.228395061728395,0.0679012345679012,0.0493827160493827,0.0246913580246914,4.45679012345679,73
